date_hour,avg_compile_time,avg_queue_time,avg_execution_time,avg_cluster_size,total_cached_queries,total_aborted_queries,avg_mbytes_scanned,avg_mbytes_spilled,avg_joins,avg_scans,avg_aggregations,total_queries
20240316 14,4008.735511807391,544.029536761581,4081.532707405999,7.972991986942727,26020,3108,9728.864795204796,4152.222797202797,0.5313038226675912,1.169649048247478,1.988228912698235,178828
20240316 15,2296.3361682412424,784.1763103557525,2582.9398509109583,5.0642202218266,25303,4121,5781.513665127692,1749.1489321344397,0.3436913922381929,1.1130039584706537,1.9534488221091693,274601
20240316 16,2594.948667316854,1468.0785913301836,2485.540167556091,5.111308714300659,63667,5445,5026.3423570079185,2132.785939949355,0.3186275447421944,1.0000095637038313,1.7785173708740587,313686
20240316 17,1924.8007613617913,515.6836628120003,2069.8519794402573,4.484466906622405,12944,5895,4855.760355659482,2437.753318971272,0.3164467669085393,1.1317617891496334,2.0402839463474267,292027
20240316 18,1857.3016609326478,444.877874195104,2064.7195792551433,4.730214728460637,15135,4936,4525.115517622663,1957.8968472467493,0.28840676855696523,1.0354654671960353,2.065692855041386,329701
20240316 19,2063.709742381503,547.932292180468,2283.7472488595736,4.532293880016056,13264,2443,4814.938139397689,2325.5824400351084,0.2889046123911025,1.1324221261425524,2.0893427538277844,293969
20240316 20,1580.340883388388,342.37305761051056,1765.8863328905193,4.279377969194352,14390,983,4366.103422774553,1337.308290863491,0.27290953187651584,1.1353548402822635,2.1102119413535485,328204
20240316 21,2752.3805890673557,1045.7103931333252,2890.1395248795498,5.8352674125031845,13658,1090,8099.180570344093,2217.864288118107,0.4844275071865258,1.2552178225839103,2.1528705615611967,197592
20240316 22,4022.720651039195,1089.7770771040289,4113.763458840534,7.1479942912482795,13755,1185,16811.144455447127,10598.425316637651,0.6350206187027931,1.3460824464693129,2.1198718947950175,141134
20240316 23,2594.3204498125783,1123.2570570954144,2709.4660876229404,6.324129336426357,11709,949,6552.8823488499875,2278.779393661193,0.7048729084174225,1.4344999361348831,2.1313769319197853,156580
20240317 00,2594.2990366852255,998.5072605522535,2698.12002338193,6.459368045079722,15676,803,7940.804749847762,3574.787526040832,0.6771962519460827,1.4272931943536111,2.1033087745900927,172783
20240317 01,2851.6631653886297,779.0447389870599,2814.132613432351,6.691279784462718,21184,1004,8743.264839351583,5368.517818142108,0.7745683524140834,1.4880907352259591,2.090586060486599,187711
20240317 02,2353.516567223423,417.7246415861148,2577.5696170556735,6.810389627695014,18736,815,9312.20846622577,4349.734365191587,0.6549010362287113,1.4042246247459949,2.0841613058951647,178146
